Epoch,TrainLoss,ValLoss
1,4198.646804373605,720.2407608032227
2,705.2308672223772,705.4478149414062
3,701.4498352050781,703.0362243652344
4,696.3908595493862,716.4112014770508
5,686.7865129743303,696.9724426269531
6,682.0816990443639,708.2154159545898
7,667.424502999442,655.5072708129883
8,647.6926391601562,632.1139144897461
9,616.8707196916853,604.1027145385742
10,573.9854749407087,548.8518486022949
11,516.3700631277902,491.7562484741211
12,452.1417733328683,422.60739517211914
13,369.3724347795759,319.53546142578125
14,301.93125501360214,303.67666244506836
15,293.05603855678015,281.8157711029053
16,267.74821036202565,251.51336669921875
17,181.408156476702,119.00308609008789
18,104.68944832938058,100.31931781768799
19,97.58268814086914,100.71138381958008
20,97.57808238438197,96.70623207092285
21,96.42864042009626,102.43746948242188
22,96.37299216134208,96.74409198760986
23,95.67502408708845,96.0843448638916
24,94.70301895141601,99.33553886413574
25,94.52500098092216,95.88868141174316
26,94.49987084524972,95.48481178283691
27,94.263918195452,97.90054035186768
28,93.35713577270508,93.67803955078125
29,93.49296297345843,96.18993282318115
30,93.32615590776716,93.08231353759766
31,91.24499457223075,91.69594287872314
32,86.93205005100795,81.38401222229004
33,79.83437461853028,76.87433338165283
34,77.1391788482666,77.10235929489136
35,75.09286324637277,68.32199382781982
36,67.73905596051897,65.82588148117065
37,54.23810888017927,41.87070608139038
38,40.37871971130371,41.26090955734253
39,35.09277992248535,34.89328384399414
40,33.89240929739816,33.36854410171509
41,33.484691456386024,32.78364539146423
42,31.697235189165387,33.430370807647705
43,31.25466796330043,30.505629777908325
44,30.621917070661272,30.611451387405396
45,31.11489691053118,32.32353234291077
46,29.657174546378,30.85981011390686
47,28.814670317513603,28.392050743103027
48,29.018064090183803,28.765358448028564
49,27.945301600864955,27.560072898864746
50,27.98895606994629,27.293076992034912
51,27.063514627729145,29.15283703804016
52,26.99361095428467,26.09349012374878
53,26.08885680607387,25.749284505844116
54,27.858521352495465,27.953932762145996
55,26.985922949654714,27.986104488372803
56,24.584991564069476,26.14551281929016
57,24.706308146885462,25.781926155090332
58,25.713230868748255,24.787402153015137
59,25.134112576075964,24.877305507659912
60,23.686463165283204,23.59637713432312
61,23.71420555114746,25.161046028137207
62,24.08739607674735,25.942924737930298
63,24.859112358093263,23.47687292098999
64,23.49988158089774,23.70192551612854
65,23.791105352129254,22.906230211257935
66,24.394488062177384,25.966454029083252
67,23.359635244097028,25.279839992523193
68,22.914840834481375,25.073964834213257
69,24.855074800763813,23.567744970321655
70,22.916275433131627,24.12753415107727
71,22.342403302873883,22.267099857330322
72,21.87503536769322,21.80333113670349
73,21.75249445778983,23.26398229598999
74,21.967514174325125,23.404258728027344
75,22.65575065612793,25.60153603553772
76,22.58287854875837,23.18808603286743
77,28.49223346710205,24.46005344390869
78,22.487081718444824,24.39517378807068
79,21.440336527143206,23.486403226852417
80,20.37443929399763,21.841138124465942
81,20.310440172467914,21.911951065063477
82,20.27532400403704,20.874669313430786
83,20.905667522975378,21.543818473815918
84,20.443858446393694,20.885818004608154
85,20.47460231781006,22.887964248657227
86,21.0405912399292,21.355343103408813
87,21.33252966744559,23.25860047340393
88,22.50382570539202,21.353693962097168
