Epoch,TrainLoss,ValLoss
1,4207.978430175781,637.1993026733398
2,632.5803937639508,633.0044708251953
3,625.5908442905971,623.9092483520508
4,616.9354609898159,623.1297149658203
5,615.7405225481306,620.2644882202148
6,615.14515511649,600.8665351867676
7,592.2241716657367,591.5784950256348
8,575.5439719063895,569.7529525756836
9,528.7309387207031,471.5355644226074
10,442.5962668282645,401.005859375
11,361.23568289620533,311.03175354003906
12,295.01876961844306,281.2538261413574
13,275.7740746634347,272.1231269836426
14,264.7100642613002,256.2579460144043
15,237.72974199567523,208.38746643066406
16,170.80103323800222,124.59440040588379
17,98.94161006382534,85.43630027770996
18,80.39687287466866,78.53507900238037
19,77.67350202287946,76.90600299835205
20,75.25330281938825,73.91125774383545
21,71.79849662780762,69.95254755020142
22,67.59690301077707,68.26700592041016
23,66.42118519374303,65.30441188812256
24,64.52750069754464,64.218017578125
25,64.37657715933663,63.20357131958008
26,62.850547899518695,63.33029890060425
27,61.107169124058316,63.29216146469116
28,58.25525469098773,56.486510276794434
29,54.18009027753558,52.933002948760986
30,49.583856201171876,47.149425983428955
31,43.22553928920201,41.13671875
32,37.4702354158674,36.55974864959717
33,31.46690390450614,29.144230604171753
34,26.97363188607352,27.34803032875061
35,28.94084884098598,27.851845264434814
36,25.520482308523995,25.514623165130615
37,24.92358281271798,24.853095054626465
38,26.961294637407576,24.60897207260132
39,22.90432379586356,23.40208888053894
40,22.64289496285575,22.82479476928711
41,21.952496446881977,22.78205704689026
42,21.83004275730678,24.84898066520691
43,22.17346433912005,25.313714742660522
44,21.84436868940081,22.466594219207764
45,20.742121505737305,21.217142343521118
46,20.299393899100167,22.110472202301025
47,19.988449423653737,21.532758712768555
48,20.18825086866106,21.481550693511963
49,20.220685877118793,20.830359935760498
50,19.704507446289064,19.77285861968994
51,19.20174696786063,20.164743185043335
52,19.24346547807966,19.98917531967163
53,18.676142828805105,19.90423822402954
54,18.48398823056902,19.7830970287323
55,18.736234310695103,20.37039351463318
56,20.089003726414273,21.48387861251831
57,20.1428430557251,18.80372905731201
58,18.107710974557058,17.95412528514862
59,17.60918046406337,17.954902410507202
60,18.457606533595495,20.242990016937256
61,17.71940264020647,17.965320587158203
62,17.56793785095215,18.10583996772766
63,17.207800143105644,17.80738639831543
64,18.0667681149074,19.462213277816772
65,18.268480791364397,18.530766248703003
66,17.04766002382551,17.460858583450317
67,16.985974638802663,17.204334139823914
68,16.065913200378418,16.973241806030273
69,16.439882918766568,17.618544101715088
70,16.637507179805212,17.240209937095642
71,16.663797909872873,17.288574695587158
72,16.653420203072685,17.37405300140381
73,17.223813683646068,17.22132706642151
74,19.788699327196394,18.861475229263306
75,16.5873888696943,16.23769509792328
76,15.945888641902378,16.310444355010986
77,15.471805327279228,16.19770073890686
78,15.42595225742885,16.681229948997498
79,15.691894490378244,16.74801242351532
80,15.75524593080793,16.68410634994507
81,16.368942151750836,16.312416195869446
82,16.068507262638636,15.753099083900452
83,15.50829633985247,17.590654134750366
84,16.044236687251498,17.893628120422363
85,16.237895338875905,20.1492862701416
86,17.1075124331883,15.759422779083252
87,15.005382197243827,15.165224552154541
88,14.782045241764614,15.780028820037842
89,15.092462076459611,15.546379923820496
90,15.528452791486467,15.620604753494263
91,23.245676231384277,38.59659123420715
92,20.142886761256626,15.731545329093933
93,14.414851474761964,14.76214599609375
94,14.25135635648455,15.060572028160095
95,14.18244263785226,14.44209623336792
96,14.048237786974227,14.732048034667969
97,14.35007825578962,14.379368901252747
98,14.067277594975062,14.395629048347473
99,13.983344813755581,14.162105441093445
100,13.982755279541015,15.91900908946991
101,14.12961699622018,14.153835415840149
102,14.1290910584586,14.547751426696777
103,14.003994369506836,14.04242193698883
104,13.881752559116908,14.470506191253662
105,13.792751026153564,14.76223373413086
106,14.37716839654105,14.147509813308716
107,13.695842797415597,14.499684572219849
108,13.863574000767299,14.146997809410095
109,14.343426936013358,14.133348941802979
110,16.137764549255373,18.330878019332886
111,14.155408041817802,13.859544157981873
112,13.119752257210868,13.475252389907837
113,13.047033146449499,13.473291039466858
114,16.339285905020578,14.212279438972473
115,13.377821227482388,13.594613671302795
116,12.8526976449149,12.832057237625122
117,12.92371713093349,12.990882158279419
118,13.043197495596749,13.691106677055359
119,13.525529956817627,13.289845824241638
120,13.932480321611678,19.511864185333252
