Epoch,TrainLoss,ValLoss,CDLoss,SmoothLoss
1,4233.271840994698,654.7463760375977,4230.656765311105,26.150890382698606
2,680.6514805385044,639.5119323730469,677.5299769810268,31.215080302102226
3,675.4447919573103,625.6468505859375,672.4784920828683,29.662984602791923
4,668.9603323800224,625.85888671875,665.89499773298,30.65332738331386
5,662.6138331821986,605.3551712036133,659.6455086844308,29.68325677599226
6,643.6160505022322,595.8845977783203,640.5839468819754,30.32106820515224
7,625.6989196777344,579.1450347900391,622.8032592773437,28.956604766845704
8,599.5657060895647,538.2773971557617,596.8357125418527,27.29998963219779
9,560.0413630894252,493.468204498291,557.4862949916295,25.550693443843297
10,498.48016662597655,434.6451835632324,495.7783155168806,27.018529660361153
11,401.58594491141184,350.5932197570801,397.6804949079241,39.054488454546245
12,314.14036669049943,317.2288589477539,310.4883010864258,36.52067582266671
13,301.66028943743027,291.23210525512695,298.46477857317245,31.95510380608695
14,279.5976832798549,291.775577545166,276.71176866803853,28.859149060930523
15,257.0258830479213,246.83302688598633,254.7457741873605,22.80109534944807
16,198.91597072056362,161.27122116088867,197.23067256382532,16.85298921040126
17,122.66743087768555,106.45927906036377,121.35194091796875,13.154903091703142
18,105.16398958478655,100.49739742279053,103.9374502999442,12.265391009194511
19,105.7508426121303,101.9801025390625,104.58222961425781,11.686124508721488
20,104.84705004010881,98.36247253417969,103.67225047520229,11.747996595927647
21,103.79636132376534,98.92290019989014,102.67244447980609,11.239164120810372
22,102.84248951503209,101.49735164642334,101.69577963692801,11.467098767416818
23,103.07174224853516,97.77927494049072,101.96580592564175,11.059368460518973
24,101.60340227399554,96.91303634643555,100.52760053362165,10.75801706314087
25,100.3414924621582,95.66829109191895,99.17418038504464,11.673118707111904
26,98.67096879141671,94.73910999298096,97.45388259887696,12.170858103888376
27,93.26428407941546,84.27016067504883,91.76254512241908,15.017385850633893
28,85.30379932948522,86.06186962127686,83.70587823050363,15.979211357661656
29,77.78134667532784,72.58785820007324,76.2733427320208,15.080040046146937
30,68.90383317129952,61.48858880996704,67.60562853131975,12.982046958378383
31,56.33840457371303,50.91476821899414,55.12302131652832,12.15383140019008
32,47.413218470982144,43.47296953201294,46.262742505754744,11.504758753095354
33,44.49708627973284,43.74620866775513,43.38584431239537,11.112418249675207
34,43.91835948399135,46.53116321563721,42.81063782828195,11.07721644129072
