Epoch,TrainLoss,ValLoss,CDLoss,SmoothLoss
1,5060.854745919364,637.485595703125,5059.84478062221,10.100082725286484
2,632.3511989048549,626.6097640991211,631.3241751534598,10.27026161466326
3,626.7822169712612,613.0323333740234,625.83359375,9.486240032741001
4,616.3800327845983,619.1303939819336,615.5271458217076,8.528913239070347
5,611.4433829171317,602.2014007568359,610.638150024414,8.05231763975961
6,602.2108947753907,591.2453384399414,601.4422031947545,7.68693163735526
7,591.9466081891741,584.9123687744141,591.1964281354632,7.501792011942182
8,578.7679194859096,566.3980560302734,577.9071677071707,8.607539401735579
9,564.0904022216797,548.7447395324707,562.911489868164,11.789105204173497
10,514.2239310128348,452.7470283508301,511.83274928501675,23.91184412411281
11,432.84338727678573,376.7331962585449,429.94549647739956,28.97890660422189
12,333.21668199811666,285.9781551361084,330.7163890293666,25.00293960571289
13,279.33661673409597,262.89145851135254,277.2866180419922,20.499998807907104
14,239.83058297293528,190.85239791870117,238.32432534354075,15.062570319856917
15,126.59223534720284,83.91598320007324,125.63043637956892,9.617988450186592
16,81.89738753182547,76.41722774505615,81.0684372493199,8.289500100272042
17,80.15113160269601,73.94541692733765,79.32595449175153,8.251769958223615
18,77.24947128295898,73.46595191955566,76.41974193028041,8.297294633729118
19,76.41686543055943,72.60537672042847,75.5672961643764,8.495691776275635
20,74.28838718959264,69.53120470046997,73.37755481175014,9.108324003219604
21,70.6058351789202,68.087655544281,69.4722937992641,11.3354177406856
22,67.30749184744698,62.14667987823486,66.04292041233607,12.645712552751814
23,64.04324716840472,58.35970497131348,62.71927980695452,13.239669384275164
24,58.982958384922576,55.65446710586548,57.74012211390904,12.428359876360211
25,50.160971941266745,40.632970333099365,49.11228119986398,10.486907025745937
26,39.233138465881346,31.972281217575073,38.360711206708636,8.724272891453333
27,31.276450402396065,27.790510892868042,30.421218926565988,8.552315493992397
28,28.746452304295133,27.584527254104614,27.93336718423026,8.130850594384329
29,27.81763221195766,26.068577527999878,26.984171431405205,8.334607907703944
30,26.294623947143556,24.69181203842163,25.50269979749407,7.919240699495588
31,25.624849837166924,27.359553575515747,24.839364406040737,7.8548530646732875
32,25.17565713609968,23.54253840446472,24.400734983171734,7.7492209162030905
33,24.804325893947055,24.788389444351196,24.038307244437082,7.660186529159546
34,23.746857016427175,23.07721471786499,23.003627831595285,7.43229171207973
35,23.54918270111084,22.531726360321045,22.77990981510707,7.692729377746582
36,23.233738245282854,22.545485496520996,22.464463315691265,7.692748696463449
37,22.98959334237235,21.789084672927856,22.20796628679548,7.8162719249725345
38,22.955448695591517,21.614866256713867,22.20032580239432,7.55122982433864
39,22.224170575823102,20.91237163543701,21.46506233215332,7.591082756859915
40,23.204577691214425,21.959920406341553,22.448052297319684,7.5652534212384905
41,21.734546170915877,20.59200429916382,20.974699565342494,7.598465442657471
42,21.172952270507814,20.356229543685913,20.404728971208844,7.682233871732439
43,20.783888026646206,21.666161060333252,20.009743418012345,7.741445432390486
44,20.85942257472447,21.72011160850525,20.08488115583147,7.745414400100708
45,20.76013684953962,19.513737201690674,19.9829222542899,7.77214595249721
46,20.028068052019393,19.673978805541992,19.254256766183037,7.738112769808088
47,20.147963741847448,19.303877115249634,19.363619913373675,7.8434379850115095
48,20.587243298121862,24.53758931159973,19.834900297437397,7.52342893736703
49,21.802774497440883,19.765531063079834,21.028612354823522,7.741621473857335
50,19.880265508379257,20.743210315704346,19.08383982522147,7.964256599971226
51,20.50697934286935,19.814772367477417,19.71654483250209,7.904345090048654
52,19.21799169267927,18.798837661743164,18.443622589111328,7.743691539764404
53,18.61354127611433,17.994831085205078,17.847328662872314,7.662126527513776
54,18.896194594247,18.450921058654785,18.119043254852294,7.771513795852661
55,18.850505461011615,18.53040313720703,18.05870462145124,7.918007360185896
56,18.256281307765416,18.773475170135498,17.486850002833776,7.694312824521746
57,18.219342000143868,18.01551079750061,17.454657636369976,7.646843838691711
58,17.930925818852018,17.314780950546265,17.148575237819127,7.823505517414638
59,18.2678313936506,18.871299028396606,17.49586749758039,7.719638763155256
60,18.636817155565534,17.727176427841187,17.868887206486292,7.679300362723215
61,18.115312004089354,17.8190256357193,17.351000118255616,7.643118558611189
62,17.3074141229902,17.100074291229248,16.53317109516689,7.742430891309466
63,17.15350686482021,16.997146248817444,16.37886941092355,7.746374402727399
64,17.789595426831927,17.386748671531677,17.015444101606096,7.741513293130057
65,17.47201999936785,17.102839589118958,16.700910554613387,7.711094059262957
66,17.2551589012146,17.12579381465912,16.486330141339984,7.688288153920855
67,18.33076274054391,22.40169382095337,17.596540028708322,7.342227002552577
68,18.907898466927666,16.63636600971222,18.147830281938827,7.600681461606707
69,16.88585195541382,16.45041584968567,16.109739439828054,7.761125101361956
70,16.661928558349608,17.00394082069397,15.906874343327113,7.550542708805629
71,17.24068167550223,16.915767669677734,16.486468601226807,7.542131131035941
72,19.221873910086497,21.23270893096924,18.478658866882324,7.432151249476841
73,19.307775497436523,17.389838099479675,18.58028222492763,7.274932193756103
74,18.294291169302806,16.34174072742462,17.578481524331227,7.15809565952846
75,17.322046307155063,16.12447464466095,16.58820148195539,7.33844815662929
76,16.084052167619976,15.989972114562988,15.355934265681675,7.281179870877947
77,16.462667342594692,15.830548763275146,15.716815880366735,7.458514322553362
78,15.709572396959578,15.597249388694763,14.966710458483014,7.428619636808123
79,16.052935109819686,15.64219057559967,15.312972749982562,7.399624599729266
80,15.707984583718437,15.257099747657776,14.98787911278861,7.2010550805500575
81,16.752368654523575,16.45886778831482,16.026015159061977,7.263534382411412
82,16.33986496244158,15.590383291244507,15.60430280140468,7.355622114453997
83,16.20574859891619,15.127964496612549,15.473990086146763,7.31758508341653
84,15.750165639604841,15.213873863220215,15.042790072304863,7.0737557683672225
85,15.138404505593437,15.212965250015259,14.412847409929547,7.255571678706578
86,15.950189249856132,16.726269602775574,15.251642663138254,6.9854661600930354
87,15.51568420955113,15.302712202072144,14.798757675715855,7.16926532472883
88,16.266130256652833,15.932985424995422,15.575404644012451,6.907256167275565
89,19.599200943538122,19.45702624320984,18.921875953674316,6.773250423158918
90,18.293459756033762,16.992573738098145,17.589323575156076,7.041361291067941
91,15.329125349862235,14.522456407546997,14.627341938018798,7.017833696092878
92,14.763851465497698,14.501809477806091,14.058249173845564,7.056022371564593
93,14.939203330448695,14.974285244941711,14.245424052647182,6.937792250088283
94,14.573383413042341,14.640235424041748,13.861013698577882,7.123696647371564
95,14.68712808064052,14.227337002754211,14.004915400913783,6.822127314976283
96,14.81819132396153,14.165242671966553,14.11136361530849,7.068277992521014
97,14.671479443141392,14.142736315727234,13.960472951616559,7.110064738137382
98,14.667633179255894,14.441824913024902,13.982898562295096,6.847346128736223
99,14.375900500161308,14.14043140411377,13.700657585689,6.752429069791521
100,40.4648263658796,1023.4610290527344,39.787895515986854,6.769313226427351
101,221.98560785566056,38.73955678939819,221.31041613987514,6.7519084283283775
102,37.838959857395714,35.59187650680542,37.20182217189244,6.371375574384417
103,35.91816049303327,34.45036244392395,35.273372759137835,6.447874345098223
104,34.99431642804827,34.27902007102966,34.33607155936105,6.582449279512677
105,33.98462300981794,32.52146601676941,33.32496125357492,6.59661784853254
106,32.91313506535121,31.431373596191406,32.26744101388114,6.456939479282924
107,31.949297142028808,30.63837718963623,31.280701691763742,6.685953405925206
