Epoch,Training Loss,Validation Loss
1,4371.182992117746,847.0829772949219
2,810.1038957868303,829.0234298706055
3,791.023796735491,792.7119674682617
4,771.5176504952567,783.5885314941406
5,753.676846749442,759.723258972168
6,724.0598458426339,718.9028778076172
7,678.1191781180246,650.5688934326172
8,607.8982945033482,571.0683975219727
9,511.1118818010603,461.3527297973633
10,421.47620936802457,386.3988380432129
11,366.6949550083705,359.20055389404297
12,339.1338413783482,320.9076347351074
13,299.61629900251114,257.1548328399658
14,181.08045479910714,101.12189960479736
15,89.62517209734236,87.32555961608887
16,87.96445432390486,88.28894329071045
17,87.42586179460798,85.44699382781982
18,83.88741585867746,81.8028736114502
19,75.79330182756696,73.0521125793457
20,62.844916752406526,60.73911714553833
21,45.16509410313198,37.09030818939209
22,35.68198119572231,34.840559244155884
23,34.46864942823137,33.622026205062866
24,33.70304129464286,33.39576458930969
25,34.498131670270645,41.03794240951538
26,33.69438029697963,32.55470871925354
27,31.40466066087995,32.72873854637146
28,30.546693747384207,31.69275689125061
29,30.325701332092287,30.620140314102173
30,29.74963368007115,30.957146883010864
31,30.179438482012067,29.966745853424072
32,28.497937992640903,27.694008111953735
33,28.52093094417027,27.293318271636963
34,27.953878920418877,27.334628343582153
35,26.982020350864957,26.040674924850464
36,26.191996574401855,28.160852432250977
37,25.682987022399903,26.462788343429565
38,25.692231668744768,25.508061170578003
39,25.185979734148297,24.56558108329773
40,24.217100742885044,25.331960678100586
41,24.082084900992257,25.779020309448242
42,24.228001403808594,27.86668872833252
43,25.463425064086913,24.38869833946228
44,22.913408906119212,26.31457543373108
45,22.803595106942314,24.49015760421753
46,22.74955520629883,22.648637294769287
47,22.392547798156738,22.18779969215393
48,21.463915416172572,24.469103813171387
49,21.59512871333531,22.116050243377686
50,21.512316622052875,21.517621994018555
51,21.15685021536691,23.29076051712036
52,21.566295869009835,21.019656896591187
53,22.072560010637556,20.927077770233154
54,20.911287552969796,20.866161584854126
55,20.755723190307616,22.896711587905884
56,20.87909870147705,20.84643864631653
57,20.414793273380823,20.486697912216187
58,21.437492779323033,23.810670852661133
59,20.475186892918178,21.66772985458374
60,20.18334296090262,19.95640277862549
61,20.499610042572023,20.946343421936035
62,19.70079344340733,19.441226720809937
63,19.402667576926095,22.625298738479614
64,20.59713044847761,20.59053635597229
65,19.453545801980155,19.821410655975342
66,20.109639154161727,19.593069553375244
67,21.326330075945172,19.77104902267456
68,20.695932183946883,22.17121148109436
69,19.12469070979527,18.909577131271362
70,19.035332815987722,21.47278141975403
71,20.812371144975934,20.6034414768219
72,19.263488142830983,19.925983905792236
73,19.905238968985422,23.194141387939453
74,19.15478586469378,19.222442269325256
75,18.387628378186907,20.78428316116333
76,18.746699605669296,18.596492171287537
77,18.300990336281913,19.92230772972107
78,17.83080918448312,17.83915936946869
79,18.09644749505179,17.987277030944824
80,17.66399109704154,18.56812620162964
81,18.314234120505198,18.59273934364319
82,17.216037614004954,17.189110279083252
83,19.52026651927403,18.436249136924744
84,18.231327220371792,18.102676391601562
85,19.002276829310826,18.29057788848877
86,16.84615331377302,17.178491950035095
87,17.514237526484898,18.461889147758484
88,16.4756977217538,16.253736972808838
89,15.897592530931746,16.300886631011963
90,17.054528958456856,16.627902388572693
91,16.03767294202532,17.73070478439331
92,17.16712109701974,16.523906350135803
93,17.1917005947658,17.722262024879456
94,16.890701947893415,16.429101943969727
95,15.332264886583602,15.744455337524414
96,16.203210272107807,16.52291989326477
97,16.62583543232509,16.106611371040344
98,16.613689299992153,15.672035932540894
99,17.242544800894603,15.344364523887634
100,15.918687847682408,16.167831778526306
101,15.785964257376534,16.055483102798462
102,15.192931856427874,15.297423243522644
103,16.754039423806326,15.33414351940155
104,14.910797841208321,14.65124762058258
105,15.711670575823103,15.946451663970947
106,16.757744979858398,14.522510528564453
107,15.7835020337786,14.896494388580322
108,16.975235680171423,15.327755331993103
109,14.865152781350272,14.303983092308044
110,14.766741834368025,16.413023829460144
111,14.54580373764038,17.198808193206787
112,14.776879855564662,14.71400499343872
113,14.274665205819266,17.94025993347168
114,14.99851700919015,15.889874458312988
115,15.225527518136161,15.245752930641174
116,14.673584910801479,13.694018959999084
117,13.732195963178363,14.113659620285034
118,14.00914922441755,14.47758424282074
119,14.89176024028233,18.060538291931152
120,14.84891997746059,15.78018057346344
121,14.743932124546596,14.27854573726654
122,13.710872677394322,13.911077857017517
123,13.294373934609549,13.660498142242432
124,14.352399131229946,13.438321948051453
125,14.098585905347552,16.573169350624084
126,15.52748508453369,12.849122762680054
127,14.520672225952149,13.08297848701477
128,12.838255827767508,14.557124018669128
129,12.733280263628279,12.721997380256653
130,13.503582586560931,13.294935822486877
131,13.613198689052037,14.192293167114258
132,13.615667520250593,13.545275092124939
133,12.655689661843436,14.142434358596802
134,14.055748122079033,17.346150517463684
135,14.550470406668527,13.394977688789368
136,12.692193113054548,12.92104434967041
137,13.51691995348249,14.628702163696289
