Epoch,Training Loss,Validation Loss
1,6259.209384825172,811.0419799804688
2,798.7553636504383,741.76806640625
3,772.7408923637577,723.5116577148438
4,764.4902730802211,718.9067016601563
5,759.4794013790968,710.4158935546875
6,754.4096501048018,708.1124267578125
7,749.5923387480946,697.87294921875
8,738.5387230849848,687.30869140625
9,728.2092151176639,696.931201171875
10,720.359028141673,673.6609375
11,704.5613373547066,674.0658813476563
12,682.4442912776295,639.2614501953125
13,661.4651459484566,617.4154174804687
14,637.7193171803544,585.260107421875
15,607.4998049852325,569.950537109375
16,567.515261022056,523.0414978027344
17,536.7614984279726,509.5473205566406
18,508.53043570169586,467.7961669921875
19,487.9915771484375,454.80426025390625
20,472.73345351800685,445.63634033203124
21,464.0870651617283,442.90919799804686
22,457.5541366949314,435.31982421875
23,453.8635172029821,436.63145751953124
24,450.9133844143007,430.37770385742186
25,452.51967267292304,433.90740966796875
26,451.65211524032964,432.0918701171875
27,448.33208335318216,432.0391540527344
28,447.6217375964653,431.3429809570313
29,449.4387832269436,427.1640380859375
30,446.237321807117,427.8664611816406
31,437.4470006431021,413.072412109375
32,406.92028436428166,383.5679870605469
33,382.7003255704554,346.96873779296874
34,352.1553865758384,329.609326171875
35,327.6698332995903,304.6103820800781
36,274.64779774735615,227.2543701171875
37,207.69458193895292,175.08538818359375
38,174.89590156369093,170.70253295898436
39,167.3926544189453,168.56621398925782
40,165.86877888004955,158.0598358154297
41,161.96137032857754,155.88976135253907
42,159.2366973132622,159.23714904785157
43,155.81746543326028,150.6410339355469
44,148.47435593023533,141.5424819946289
45,137.74712371826172,141.85718841552733
46,126.15268483976038,124.6071792602539
47,113.12155932914919,109.30713653564453
48,102.95088902915397,93.48926696777343
49,80.13753853774652,73.00691986083984
50,67.96880908128692,63.3889045715332
51,56.73368761016101,53.720883178710935
52,52.97920924861257,51.133609771728516
53,50.51632113573028,51.673249053955075
54,49.29775479944741,48.18342666625976
55,48.18875857097347,47.25250778198242
56,47.86755231531655,48.25250396728516
57,47.58717932352206,45.37339782714844
58,45.62759929750024,43.55860061645508
59,45.50980861012528,43.18052291870117
60,44.22694629576148,42.39287490844727
61,43.41618207605874,41.2786262512207
62,43.067842530041204,41.15934371948242
63,42.48369040140292,40.986473083496094
64,41.61094981868093,39.21610336303711
65,41.157626593985206,39.00574569702148
66,39.93152553279226,38.233794403076175
67,39.838023115948936,37.997005462646484
68,38.829193673482756,37.163987731933595
69,38.23766699069884,38.9934684753418
70,37.751015546845224,36.19790267944336
71,37.3053232983845,35.90574073791504
72,36.47016599701672,34.43254928588867
73,35.717808514106565,35.06114883422852
74,36.23502396374214,34.56487503051758
75,34.741388041798665,36.907040405273435
76,34.91542029962307,33.09945983886719
77,33.776921481620974,33.651733779907225
78,32.980461492771056,31.713307571411132
79,32.80453314432284,33.51891250610352
80,31.99868248730171,30.767144775390626
81,31.341026585276534,29.561725234985353
82,31.619786053169065,29.44783935546875
83,32.64090817149093,29.424984741210938
84,31.313136914881266,29.855164337158204
85,31.15536294332365,28.73644027709961
86,30.03552929948016,29.23270034790039
87,29.85348240922137,28.477280807495116
